# Copyright (C) 1991-2011 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 11.0 Build 208 07/03/2011 Service Pack 1 SJ Web Edition
# File: C:/Users/Public/Documents/lab5/ECE2300_2013FA_Lab5_pins.csv
# Generated on: Tue Nov 05 16:13:51 2013

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength
CLK_50,Input,PIN_N2,2,B2_N1,,,
CLK_SEL,Input,PIN_N26,5,B5_N1,,,
DataA[7],Output,,,,,,
DataA[6],Output,,,,,,
DataA[5],Output,,,,,,
DataA[4],Output,,,,,,
DataA[3],Output,,,,,,
DataA[2],Output,,,,,,
DataA[1],Output,,,,,,
DataA[0],Output,,,,,,
DataB[7],Output,,,,,,
DataB[6],Output,,,,,,
DataB[5],Output,,,,,,
DataB[4],Output,,,,,,
DataB[3],Output,,,,,,
DataB[2],Output,,,,,,
DataB[1],Output,,,,,,
DataB[0],Output,,,,,,
DataC[7],Output,,,,,,
DataC[6],Output,,,,,,
DataC[5],Output,,,,,,
DataC[4],Output,,,,,,
DataC[3],Output,,,,,,
DataC[2],Output,,,,,,
DataC[1],Output,,,,,,
DataC[0],Output,,,,,,
DataD[7],Output,,,,,,
DataD[6],Output,,,,,,
DataD[5],Output,,,,,,
DataD[4],Output,,,,,,
DataD[3],Output,,,,,,
DataD[2],Output,,,,,,
DataD[1],Output,,,,,,
DataD[0],Output,,,,,,
Din[7],Output,,,,,,
Din[6],Output,,,,,,
Din[5],Output,,,,,,
Din[4],Output,,,,,,
Din[3],Output,,,,,,
Din[2],Output,,,,,,
Din[1],Output,,,,,,
Din[0],Output,,,,,,
EN_L,Input,PIN_G26,5,B5_N0,,,
HEX0[0],Output,PIN_AF10,8,B8_N0,,,
HEX0[1],Output,PIN_AB12,8,B8_N0,,,
HEX0[2],Output,PIN_AC12,8,B8_N0,,,
HEX0[3],Output,PIN_AD11,8,B8_N0,,,
HEX0[4],Output,PIN_AE11,8,B8_N0,,,
HEX0[5],Output,PIN_V14,8,B8_N0,,,
HEX0[6],Output,PIN_V13,8,B8_N0,,,
HEX1[0],Output,PIN_V20,6,B6_N1,,,
HEX1[1],Output,PIN_V21,6,B6_N1,,,
HEX1[2],Output,PIN_W21,6,B6_N1,,,
HEX1[3],Output,PIN_Y22,6,B6_N1,,,
HEX1[4],Output,PIN_AA24,6,B6_N1,,,
HEX1[5],Output,PIN_AA23,6,B6_N1,,,
HEX1[6],Output,PIN_AB24,6,B6_N1,,,
HEX2[0],Output,PIN_AB23,6,B6_N1,,,
HEX2[1],Output,PIN_V22,6,B6_N1,,,
HEX2[2],Output,PIN_AC25,6,B6_N1,,,
